Year,Stand,Trapno,Date,Species,Germinants,Field Notes,Data Entry Notes
2022,AB08,9,16/06/2022,THPL,21,,
2022,AB08,9,16/06/2022,PSME,2,,
2022,AB08,10,16/06/2022,TSHE,9,,
2022,AB08,10,16/06/2022,THPL,3,,
2022,AB08,10,16/06/2022,PSME,1,,
2022,AB08,11,16/06/2022,TSHE,4,,
2022,AB08,11,16/06/2022,THPL,1,,
2022,AB08,11,16/06/2022,PSME,2,,
2022,AB08,12,16/06/2022,TSHE,2,,
2022,AB08,12,16/06/2022,THPL,5,,
2022,AB08,13,16/06/2022,TSHE,2,,
2022,AB08,13,16/06/2022,THPL,2,,
2022,AB08,13,16/06/2022,PSME,1,,
2022,AB08,14,16/06/2022,,0,,
2022,AB08,15,16/06/2022,TSHE,2,,
2022,AB08,15,16/06/2022,THPL,2,,
2022,AB08,15,16/06/2022,PSME,1,,
2022,TO04,1,6-20-2022,TSHE,1,,
2022,TO04,1,6-20-2022,THPL,2,,
2022,TO04,2,6-20-2022,TSHE,5,,
2022,TO04,2,6-20-2022,THPL,6,,
2022,TO04,3,6-20-2022,TSHE,4,,
2022,TO04,3,6-20-2022,THPL,11,,
2022,TO04,4,6-20-2022,THPL,3,,
2022,TO04,5,6-20-2022,THPL,2,,
2022,TO04,5,6-20-2022,PSME,1,,
2022,TO04,6,6-20-2022,THPL,3,,
2022,TO04,6,6-20-2022,PSME,1,,
2022,TO04,7,6-20-2022,TSHE,3,TOMST put in correct place at 4 pm,
2022,TO04,7,6-20-2022,THPL,4,,
2022,TO04,7,6-20-2022,PSME,1,,
2022,TO04,8,6-20-2022,TSHE,22,,
2022,TO04,8,6-20-2022,THPL,38,,
2022,TO04,8,6-20-2022,PSME,2,,
2022,TO04,9,6-20-2022,TSHE,2,reinserted TOMST at 3:22 pm,
2022,TO04,9,6-20-2022,THPL,16,,
2022,TO04,10,6-20-2022,TSHE,14,,
2022,TO04,10,6-20-2022,THPL,18,,
2022,TO04,10,6-20-2022,PSME,1,,
2022,TO04,11,6-20-2022,TSHE,13,,
2022,TO04,11,6-20-2022,THPL,55,,
2022,TO04,11,6-20-2022,PSME,2,,
2022,TO04,12,6-20-2022,TSHE,14,,
2022,TO04,12,6-20-2022,THPL,222,,"some of these THPL were actually the Yew (TABR), I just didn't realize it at the time. I'd guess 5-20 off memory, no way to know for sure since they were germinated so I discarded them. "
2022,TO04,12,6-20-2022,PSME,3,,
2022,TO04,13,6-20-2022,TSHE,8,,
2022,TO04,13,6-20-2022,THPL,24,,
2022,TO04,13,6-20-2022,PSME,1,,
2022,TO04,14,6-20-2022,TSHE,5,,
2022,TO04,14,6-20-2022,THPL,11,,
2022,TO04,15,6-20-2022,TSHE,17,,
2022,TO04,15,6-20-2022,THPL,31,,
2022,TO04,15,6-20-2022,PSME,1,,
2022,TO04,15,6-20-2022,ABGR,2,,
2022,AG05,1,6-21-2022,TSHE,3,,
2022,AG05,1,6-21-2022,THPL,25,,
2022,AG05,1,6-21-2022,PSME,2,,
2022,AG05,2,6-21-2022,TSHE,5,,
2022,AG05,2,6-21-2022,THPL,13,,
2022,AG05,2,6-21-2022,PSME,3,,
2022,AG05,3,6-21-2022,TSHE,2,,
2022,AG05,3,6-21-2022,THPL,9,,
2022,AG05,3,6-21-2022,PSME,1,,
2022,AG05,4,6-21-2022,THPL,10,,
2022,AG05,4,6-21-2022,PSME,6,,
2022,AG05,5,6-21-2022,TSHE,1,,
2022,AG05,5,6-21-2022,THPL,4,,
2022,AG05,5,6-21-2022,PSME,5,,
2022,AG05,6,6-21-2022,TSHE,9,,
2022,AG05,6,6-21-2022,THPL,10,"3 PSME cones on top of trap, sapling fell on trap, trap was covered with branch",
2022,AG05,7,6-21-2022,TSHE,6,,
2022,AG05,7,6-21-2022,THPL,48,,
2022,AG05,7,6-21-2022,PSME,16,PSME cone on top of trap,
2022,AG05,8,6-21-2022,TSHE,9,,
2022,AG05,8,6-21-2022,THPL,33,,
2022,AG05,8,6-21-2022,PSME,2,,
2022,AG05,9,6-21-2022,TSHE,18,,
2022,AG05,9,6-21-2022,THPL,40,,
2022,AG05,9,6-21-2022,PSME,14,,
2022,AG05,10,6-21-2022,TSHE,3,,
2022,AG05,10,6-21-2022,THPL,25,,
2022,AG05,10,6-21-2022,PSME,3,,
2022,AG05,11,6-21-2022,TSHE,9,,
2022,AG05,11,6-21-2022,THPL,37,,
2022,AG05,11,6-21-2022,PSME,14,,
2022,AG05,12,6-21-2022,TSHE,8,,
2022,AG05,12,6-21-2022,THPL,32,,
2022,AG05,12,6-21-2022,PSME,13,,
2022,AG05,13,6-21-2022,TSHE,1,,
2022,AG05,13,6-21-2022,THPL,3,,
2022,AG05,13,6-21-2022,PSME,10,,
2022,AG05,14,6-21-2022,TSHE,4,2 PSME on top of trap,
2022,AG05,14,6-21-2022,THPL,14,,
2022,AG05,14,6-21-2022,PSME,20,,
2022,AG05,15,6-21-2022,TSHE,5,,
2022,AG05,15,6-21-2022,THPL,51,,
2022,AG05,15,6-21-2022,PSME,6,,
2022,AV06,1,6-22-2022,TSHE,3,"germinants still had seed attached, still removed them",
2022,AV06,4,6-22-2022,PSME,1,,
2022,AV06,5,6-22-2022,TSHE,2,,
2022,AV06,5,6-22-2022,PSME,1,,
2022,AV06,7,6-22-2022,ABAM,1,double check TMS serial number at AV06 Trap7. The number of the actually installed logger at this trap is: 94211289.,
2022,AV06,11,6-22-2022,TSHE,1,,
2022,AV06,11,6-22-2022,THPL,3,,
2022,AV06,11,6-22-2022,PSME,1,,
2022,AV06,12,6-22-2022,PSME,2,,
2022,AV06,13,6-22-2022,TSHE,1,,
2022,AV06,13,6-22-2022,PSME,1,,
2022,AV06,14,6-22-2022,TSHE,4,,
2022,AV06,14,6-22-2022,THPL,8,,
2022,AV06,14,6-22-2022,PSME,1,,
2022,AV06,15,6-22-2022,TSHE,1,,
2022,AV06,15,6-22-2022,THPL,10,"*traps 2, 3, 6, 8, 9, 10 were censused but had 0 germinants*",
2022,AM16,1,6-29-2022,,0,"trap was covered in snow, will go back",
2022,AM16,2,6-29-2022,,0,TOMST sunshield replaced,
2022,AM16,3,6-29-2022,,0,no TOMST,
2022,AM16,4,6-29-2022,,0,basket broken,
2022,AM16,5,6-29-2022,,0,basket broken,
2022,AM16,6,6-29-2022,,0,basket broken,
2022,AM16,7,6-29-2022,,0,,
2022,AM16,8,6-29-2022,,0,"basket bent but not broken, TOMST sunshield replaced",
2022,AM16,9,6-29-2022,,0,"basket broken, sunshield replaced",
2022,AM16,10,6-29-2022,,0,"basket broken, sunshield replaced, TOMST submerged",
2022,AM16,11,6-29-2022,,0,basket bent,
2022,AM16,12,6-29-2022,,0,"basket partially broken, sunshield replaced",
2022,AM16,13,6-29-2022,,0,"basket broken, sunshield replaced",
2022,AM16,14,6-29-2022,,0,"trap was covered in snow (will go back), sunshield replaced",
2022,AM16,15,6-29-2022,,0,,
2022,AE10,1,07/11/2022,,0,"basket broken, rim intact",
2022,AE10,2,07/11/2022,Ab. sp.,1,TOMST missing sunshield,
2022,AE10,3,07/11/2022,,0,2 extra outer clips worked well,
2022,AE10,4,07/11/2022,CANO,1,,
2022,AE10,5,07/11/2022,,0,2 tiny holes in bottom of liner,
2022,AE10,6,07/11/2022,Ab. sp.,1,"basket destroyed, wire is loosened",
2022,AE10,7,7-13-2022,,0,,
2022,AE10,8,7-13-2022,,0,,
2022,AE10,9,7-13-2022,,0,,
2022,AE10,10,7-13-2022,ABAM,1,,
2022,AE10,11,7-13-2022,Ab. sp.,1,,
2022,AE10,12,7-13-2022,Ab. sp.,2,,
2022,AE10,13,7-13-2022,Ab. sp.,2,,
2022,AE10,14,7-13-2022,,0,,
2022,AE10,15,7-13-2022,,0,,
2022,SUNR,1,08/03/2022,,0,,
2022,SUNR,2,08/03/2022,,0,switched TOMST @ 4:17 pm,
2022,SUNR,3,08/03/2022,,0,,
2022,SUNR,4,08/03/2022,,0,come back with wood screw,
2022,SUNR,5,08/03/2022,,0,,
2022,SUNR,6,08/03/2022,,0,,
2022,PARA,1,7-28-2022,ABAM,1,,
2022,PARA,1,7-28-2022,AB SP.,2,,
2022,PARA,2,7-28-2022,ABAM,2,,
2022,PARA,2,7-28-2022,AB SP.,1,,
2022,PARA,3,7-28-2022,ABAM,1,,
2022,PARA,3,7-28-2022,ABLA,1,,
2022,PARA,3,7-28-2022,AB SP.,2,,
2022,PARA,5,7-28-2022,ABAM,1,,
