"year","stand","trapno","size","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cones_sds_all","germintrap","total_viable_sds"
2011,"AV14",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AV14",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AX15",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AX15",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AX15",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AX15",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AX15",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"AX15",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PARA",1,0.17008125,"ABLA",1,2,0,NA,NA,0,0,1
2011,"PARA",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PARA",3,0.17008125,"ABLA",1,1,0,NA,NA,0,0,1
2011,"PARA",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PARA",5,0.17008125,"ABLA",2,0,0,NA,NA,0,0,2
2011,"PARA",6,0.17008125,"ABLA",2,0,0,NA,NA,0,0,2
2011,"PP17",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PP17",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PP17",3,0.17008125,"ABLA",1,0,0,NA,NA,0,0,1
2011,"PP17",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PP17",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"PP17",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SPRY",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SPRY",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SPRY",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SPRY",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SPRY",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SPRY",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"SUNR",1,0.17008125,"ABLA",6,1,0,NA,NA,0,0,6
2011,"SUNR",2,0.17008125,"ABLA",8,2,0,NA,NA,0,0,8
2011,"SUNR",3,0.17008125,"ABLA",9,2,0,NA,NA,0,0,9
2011,"SUNR",4,0.17008125,"ABLA",13,3,0,NA,NA,0,0,13
2011,"SUNR",5,0.17008125,"ABLA",10,8,0,NA,NA,0,0,10
2011,"SUNR",6,0.17008125,"ABLA",11,2,0,NA,NA,0,0,11
2011,"TA01",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TA01",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TA01",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TA01",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TA01",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TA01",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TB13",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TB13",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TB13",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TB13",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TB13",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TB13",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO04",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO04",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO04",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO04",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO04",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO04",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO11",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO11",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO11",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO11",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO11",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2011,"TO11",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AB08",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AB08",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AB08",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AB08",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AB08",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AB08",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AE10",1,0.17008125,"ABLA",13,0,0,NA,NA,0,0,13
2012,"AE10",2,0.17008125,"ABLA",2,0,0,NA,NA,0,0,2
2012,"AE10",3,0.17008125,"ABLA",6,2,0,NA,NA,0,0,6
2012,"AE10",4,0.17008125,"ABLA",5,0,0,NA,NA,0,0,5
2012,"AE10",5,0.17008125,"ABLA",8,3,0,NA,NA,0,0,8
2012,"AE10",6,0.17008125,"ABLA",10,1,0,NA,NA,0,0,10
2012,"AG05",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AG05",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AG05",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AG05",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AG05",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AG05",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AM16",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AM16",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AM16",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AM16",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AM16",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AM16",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AO03",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AO03",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AO03",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AO03",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AO03",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AO03",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AR07",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AR07",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AR07",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AR07",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AR07",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AR07",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV02",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV02",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV02",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV02",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV02",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV02",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV06",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV06",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV06",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV06",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV06",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV06",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV14",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV14",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV14",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV14",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV14",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AV14",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AX15",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AX15",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AX15",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AX15",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AX15",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"AX15",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PARA",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PARA",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PARA",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PARA",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PARA",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PARA",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PP17",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PP17",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PP17",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PP17",4,0.17008125,"ABLA",1,0,0,NA,NA,0,0,1
2012,"PP17",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"PP17",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SPRY",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SPRY",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SPRY",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SPRY",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SPRY",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SPRY",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"SUNR",1,0.17008125,"ABLA",20,0,0,NA,NA,0,0,20
2012,"SUNR",2,0.17008125,"ABLA",13,12,0,NA,NA,0,0,13
2012,"SUNR",3,0.17008125,"ABLA",9,2,0,NA,NA,0,0,9
2012,"SUNR",4,0.17008125,"ABLA",27,4,0,NA,NA,0,0,27
2012,"SUNR",5,0.17008125,"ABLA",35,9,0,NA,NA,0,0,35
2012,"SUNR",6,0.17008125,"ABLA",22,6,0,NA,NA,0,0,22
2012,"TA01",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TA01",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TA01",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TA01",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TA01",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TA01",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TB13",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2012,"TB13",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
