Year,Stand,Trapno,Spp,FilledSds,UnfilledSds,Cones,FilledSds/cones,UnfilledSds/cones,notes,,
2021,PARA,5,TSME,1,0,0,0,0,NA,Sabine,
2021,PARA,6,TSME,1,0,0,0,0,NA,Sabine,
2021,PARA,6,CANO,1,0,0,0,0,NA,Sabine,
2021,PARA ,4,TSME,1,0,1,0,0,more golden in color but more likely TSME tham TSHE because of shape,,
2021,SUNR,1,CANO,3,0,0,0,0,NA,Sabine,
2021,SUNR,1,Abies sp.,0,1,0,0,0,"I think it is a degraded empty Abies seed, species not defined",Sabine,
2021,SUNR,2,CANO,3,2,0,0,0,unfilled: one of them is maybe not CANO,Sabine,
2021,SUNR,3,CANO,1,0,0,0,0,NA,Sabine,
2021,SUNR,3,TSME,1,0,0,0,0,NA,Sabine,
2021,SUNR,4,ABAM,0,1,0,0,0,"ID is not certain, seed looks like it has been eaten",Sabine,
2021,SUNR,4,CANO,6,0,2,0,0,NA,Sabine,
2021,SUNR,5,TSME,0,0,1,39,0,NA,Sabine,
2021,SUNR,5,CANO,1,1,0,0,0,NA,Sabine,
2021,SUNR,5,ABLA,0,1,0,0,0,seed fell apart,Sabine,
2021,SUNR,6,CANO,2,0,0,0,0,NA,Sabine,
2021,TA01,1,TSHE,50,0,0,0,0,NA,Nathan,
2021,TA01,2,THPL,1,0,0,0,0,,,
2021,TA01,2,PSME,3,0,0,0,0,,,
2021,TA01,2,TSHE,26,3,0,0,0,,,
2021,TA01,3,TSHE,33,0,0,0,0,NA,Nathan,
2021,TA01,4,TSHE,64,2,0,0,0,,,
2021,TA01,5,TSHE,43,3,0,0,0,,,
2021,TA01,5,PSME,2,0,2,2,16,"A few larvae grew inside one cone -> lots of white stuff and resin, seeds stuck to scales and eaten",,
2021,TA01,6,TSHE,63,2,0,0,0,,,
2021,TA01,6,THPL,0,1,0,0,0,Seed disintegrated,,
2021,TA01,6,ABPR?,1,0,0,0,0,Uncertain if ABPR or ABAM,,
2021,TA01,6,PSME,0,1,0,0,0,Probably unfilled PSME seed,,
2021,TO04,1,PSME,1,0,0,0,0,,Luana ,
2021,TO04,1,THPL,23,0,3,0,0,,,
2021,TO04,1,TSHE,95,44,12,7,10,non-cones: seeds disintegrated. A lot of scales. ,,
2021,TO04,2,TSHE,91,9,18,29,0,NA,Nathan,
2021,TO04,2,THPL,19,3,0,0,0,NA,Nathan,
2021,TO04,2,PSME,1,0,0,0,0,NA,Nathan,
2021,TO04,3,PSME,2,0,0,0,0,NA,Sabine,
2021,TO04,3,ABAM,1,0,0,0,0,NA,Sabine,
2021,TO04,3,TSHE,72,49,49,1,33,species ID not certain,Sabine,
2021,TO04,3,THPL,34,34,5,3,0,some filled seeds are now broken,Sabine,
2021,TO04,4,TSHE,119,14,6,46,0,NA,Nathan,
2021,TO04,4,THPL,27,8,1,0,0,NA,Nathan,
2021,TO04,5,TSHE,69,6,1,4,0,NA,Nathan,
2021,TO04,5,THPL,33,5,6,0,0,NA,Nathan,
2021,TO04,5,PSME,2,0,0,0,0,NA,Nathan,
2021,TO04,6,PSME,1,0,0,0,0,ID not certain,Sabine,
2021,TO04,6,TSHE,79,11,1,0,0,only shaft of cone left --> cone ID not certain,Sabine,
2021,TO04,6,THPL,35,8,11,14,6,many seeds are broken because of checking for filled/unfilled,Sabine,
